Raw Text,Dataset's label,Codes level 1,Codes level 2,Evidences,Is Match,Note (Nếu có)
**you are strong** for getting out of bed in the morning when it feels like hell. **you are brave** for doing things even though they scare you or make you anxious. &amp;#x200b; and **you are amazing** for trying and holding on no matter how hard life gets.,Anxiety,Normal,Normal_Encouragement,"- you are strong for getting out of bed in the morning when it feels like hell
- you are brave for doing things even though they scare you or make you anxious
- you are amazing for trying and holding on no matter how hard life gets",0,"Mặc dù đoạn văn có nhắc đến các trạng thái tiêu cực như ""feels like hell"" (trầm cảm) hay ""scare/anxious"" (lo âu), bản chất của toàn bộ văn bản là một lời động viên, công nhận sự cố gắng của người nghe. Do đó, mục đích chính của câu thuộc nhóm bình thường và mang tính cổ vũ (Encouragement) chứ không phải là lời bày tỏ sự bất lực hay tuyệt vọng của người viết."
,,,,,,
"I cannot turn to anyone, not to freinds and family, not therapy, I doubt even here anyone would be able to relate to my years of struggle, even those like me seem to shun me or not be able to relate to me, I am alone, and there is noting I can do I am utterly alone with my problems",Depression,Depressíon,Depression_Hopelessness,"- I cannot turn to anyone, not to freinds and family, not therapy
- I am alone, and there is noting I can do
- I am utterly alone with my problems",1,"Câu văn thể hiện sự bất lực hoàn toàn và mất niềm tin vào mọi nguồn hỗ trợ xung quanh (gia đình, bạn bè, trị liệu). Người viết rơi vào trạng thái cô độc tuyệt đối và cảm thấy bế tắc khi khẳng định ""không thể làm gì được nữa"", một dấu hiệu cốt lõi của sự tuyệt vọng (Hopelessness)."
i m 9 and feel lonely and empty from inside i grew up having no friend i did get a great group of friend but then they ended up just using me and then leaving me like trash so i just roam alone most of the time all empty from inside i can t even talk to my parent about it a they expect me to be happy which i can t but i have to for them so that they don t get worried about me i just want friend some true one i also realise that u trust people way too easily maybe i shouldn t sometimes i just wan na kill myself but then i think of my family and future and don t do it i wish i didn t exist,Depression,Suicidal,Suicidal_Ambivalence,"- sometimes i just wan na kill myself but then i think of my family and future and don t do it
- i wish i didn t exist",0,"Mặc dù đoạn văn chứa nhiều biểu hiện của trầm cảm sâu sắc (cô đơn, trống rỗng, mất niềm tin), nhãn cao nhất được chọn là khía cạnh tự sát. Cụ thể, nhãn cấp 2 phản ánh sự giằng xé/mâu thuẫn tâm lý (Ambivalence) khi người viết có ý định tự tử nhưng lại bị níu giữ bởi suy nghĩ về gia đình và tương lai."
"i cut people out of my life frequently, mainly because sometimes my anxiety starts being overwhelming me that it becomes completely crippling and even something as simple as unfriending someone on facebook or removing them/blocking them from my phone brings a lot of relief. for the most part i do feel like my existence in these people's lives are completely irrelevant and that being around them, i would be ""weighing them down"". i'm always asked by my therapist where my evidence is for these thoughts and for the most part, i don't have the evidence, but i also don't have any evidence to show whether these people want me there to begin so i really have no choice but to make assumptions. confronting people to validate my feelings and uncertainty is something i definitely won't do at the risk of it backfiring and making things go bad, if not worse. i'm just posting here to see what others feel about the whole social circle and ""support system"". for the most part i have incredible social anxiety and i can't even be with my family members anymore without feeling anxious and i feel things are getting worse and worse throughout my life.",Depression,Anxiety,Anxiety_Uncertainty,"- my anxiety starts being overwhelming me that it becomes completely crippling
- i don't have the evidence, but i also don't have any evidence to show whether these people want me there to begin so i really have no choice but to make assumptions
- confronting people to validate my feelings and uncertainty is something i definitely won't do at the risk of it backfiring
- i feel things are getting worse and worse throughout my life
- i can't even be with my family members anymore without feeling anxious",0,"Người viết thể hiện lo âu xã hội nặng nề, đặc biệt xoay quanh sự không chắc chắn về giá trị bản thân trong các mối quan hệ. Cốt lõi là thiếu bằng chứng để xác nhận cảm xúc, dẫn đến né tránh xã hội như một cơ chế đối phó. Không có dấu hiệu trầm cảm lâm sàng hay ý tưởng tự tử rõ ràng."
"while in the evening i was browsing suicide methods and settled down to hanging, i started to educate myself about how to do it properly. i'm fed up with life and all of its bullshit and i decided i don't want to be here any longer, but as i cried a lot i still managed to not do a thing. this was the 5th consecutive night like this, looking up suicide methods. this morning when i woke up, i confessed to my mom. i couldn't look into her eyes or i could see the disappointment. i told her i need to talk to a professional, i hope she took me seriously. just wanted to tell you, i'm sure this will get ignored, but i got a little relieved. happy holidays ! edit: thanks for every kind word, it means a lot, i hope this turn out well. i'm kinda afraid, thinking about the whole thing. some advices or experiences are welcomed, if anyone have any.",Depression,Suicidal,Suicidal_Ambivalence,"- while in the evening i was browsing suicide methods and settled down to hanging, i started to educate myself about how to do it properly
- i'm fed up with life and all of its bullshit and i decided i don't want to be here any longer
- but as i cried a lot i still managed to not do a thing
- this was the 5th consecutive night like this, looking up suicide methods
- i confessed to my mom. i told her i need to talk to a professional
- i'm kinda afraid, thinking about the whole thing. some advices or experiences are welcomed",0,"Người viết thể hiện hành vi tự sát rõ ràng qua việc tìm kiếm phương pháp trong 5 đêm liên tiếp. Tuy nhiên, nhãn ""Suicidal_Ambivalence"" (Sự mâu thuẫn/giằng xé về việc tự sát) là phù hợp nhất vì họ vừa muốn giải thoát, lại vừa kiềm chế được hành động, chủ động tìm kiếm sự giúp đỡ từ mẹ và chuyên gia y tế."
"so often i feel badly and i can’t even tell what the problem is. like, am i really sad, or am i just hungry? do i need to spend some time with friends, or am i just feeling depressed for no reason? am i actually tired, or is depression just sapping my motivation?",Depression,Depressíon,Depression_Apathy,"- so often i feel badly and i can’t even tell what the problem is
- am i just feeling depressed for no reason?"", ""is depression just sapping my motivation?",1,"Người viết đang trải qua trạng thái mơ hồ, mất phương hướng và cạn kiệt năng lượng đặc trưng của trầm cảm. Họ không thể phân biệt được nhu cầu thể chất (đói, mệt) với cảm xúc tiêu cực, và điểm mấu chốt nằm ở việc ""trầm cảm đang bào mòn động lực"", minh chứng rõ cho nhãn Depression_Apathy."
,,,,,,
"NOT BEING DEPRESSED TO KILL YOURSELFAlright so I’m 19, never though I’d let myself get to this point but here I am. There’s always this misconception that people kill themselves because they are depressed and don’t have options, what if you’re fucking bored. the only thing that would keep me going is my dream of music but at the same time I don’t care at times because I’ve never enjoyed life I’m so numb I don’t even think I get sad anymore I’m soooo numb what’s the point in living if you don’t know how to live and even if I because the musician I wanted to be I wouldn’t want to live past 25 at most!!! I don’t know wtf is the point of being here if I’m gonna think this way if there is a higher power, an I suppose to work with this mentality and find a love for life or something, the typical life your suppose to have is something I detest idkkkk, wtf is the point",Suicidal,Suicidal,Suicidal_Ideation,"- never though I’d let myself get to this point but here I am
- There’s always this misconception that people kill themselves because they are depressed and don’t have options, what if you’re fucking bored.
- what’s the point in living if you don’t know how to live
- even if I because the musician I wanted to be I wouldn’t want to live past 25 at most!!!
- I don’t know wtf is the point of being here if I’m gonna think this way
- wtf is the point",1,"Dù tác giả phủ nhận việc mình bị trầm cảm (""NOT BEING DEPRESSED""), toàn bộ bài viết lại thể hiện rõ ý tưởng tự sát do sự bế tắc và vô cảm với cuộc sống. Tác giả liên tục đặt câu hỏi về ý nghĩa sự sống và khẳng định không muốn sống quá tuổi 25."
"Everything I do I just feel annoyed, irritated, lose interest and lose focus. I feel weak and tired. I tried sleeping. But i wake up shortly after when i had this short dream. There was a rope from the ceiling. A thick rope. I was in my bed and the rope was hanging beside me. I do not know why but in that dream I grabbed the rope and it suddenly tightened around my neck and i cannot breathe. I keep struggling. And then i found myself on my bed again. Every time i try to sleep all i can think of is how i accidentally commit suicide in different ways and i cannot go back. If only I am not afraid of what comes after. If only i do not have to keep having these feelings and thoughts. Why am i so ungrateful with my life.. I get that feeling again.",Suicidal,Suicidal,Suicidal_Intrusive_Thoughts,"- Every time i try to sleep all i can think of is how i accidentally commit suicide in different ways and i cannot go back
- If only I am not afraid of what comes after
- If only i do not have to keep having these feelings and thoughts
- I grabbed the rope and it suddenly tightened around my neck and i cannot breathe
- Everything I do I just feel annoyed, irritated, lose interest and lose focus",1,"Người viết mô tả các suy nghĩ xâm nhập (intrusive thoughts) về tự tử lặp đi lặp lại, được ngụy trang dưới dạng ""vô tình"" - đây là dấu hiệu của Suicidal Intrusive Thoughts. Câu ""If only I am not afraid"" thể hiện sự ambivalence nhưng yếu tố intrusive thoughts chiếm ưu thế hơn, kết hợp với triệu chứng trầm cảm soma (mệt mỏi, mất ngủ, mất hứng thú)."
"Literally doubting my suicidal thought and depressionWhen you read some other posts on this sub, you think ""damn yeah i understand"" but everyone i have talked to on this sub, were like ""but have you done this and this?"" And they come up with ""solutions"" so easily like i haven't thought about that before... they think about my life for 5 seconds and just come up with a solution like it's nothing and my life isn't so bad. Can i not even properly want to die??? Do i seriously fail at being depressed too????",Suicidal,Suicidal,Suicidal_Ambivalence,"- Literally doubting my suicidal thought and depression
- Can i not even properly want to die???
- Do i seriously fail at being depressed too????
- everyone i have talked to on this sub, were like 'but have you done this and this?'
- they come up with 'solutions' so easily like i haven't thought about that before",1,"Người viết thể hiện sự hoài nghi về chính cảm xúc và ý nghĩ tự tử của bản thân, xuất phát từ việc bị người khác phủ nhận hoặc đơn giản hóa nỗi đau. Đây là dạng ambivalence đặc biệt - không phải do do dự về hành động, mà do bị ngoại cảnh khiến họ nghi ngờ tính hợp lệ của chính trải nghiệm mình. "
"When I close my eyes I can pretendMy thoughts are a blur so I'm using bullet points. * Everything hurts. There is too much pain in my life. I want it to stop. * I hate just about everything humans have done. Yeah, we've done some amazing things, but we've done a lot of extremely awful things. I don't like the societies we've created. I don't like the systems we have in place. * So I'm pretty depressed and suicidal. I also have zero self-worth and negative self-esteem. This has made me extremely anxious/nervous/shy. * I'm 20. Living at home. College dropout. No friends. Waste of space-failure at life. * The only things in my future are college or a job. College is just like high school. Bullshit work just to make it hard. And a minimum wage job? Call me elitist but that's insulting. Those options look like they'll make me more miserable than I already am. * I've made my plan and have started my notes. * I don't want to 'feel better' or 'make it to tomorrow'. I want to solve my problems. * I've had it. I'm so sick of this. If I can't fix this, it's not worth 'enduring'. I know of something that will take care of everything. This is scary. *I'm so scared*. I can't believe this is happening. What am I supposed to do??",Suicidal,Suicidal,Suicidal_Immediate_Intent,"- I've made my plan and have started my notes.
- If I can't fix this, it's not worth 'enduring'. I know of something that will take care of everything.",1,"Dù văn bản chứa nhiều biểu hiện của trầm cảm và lo âu, nhưng mức độ nghiêm trọng cao nhất nằm ở hành vi tự sát. Việc người viết khẳng định đã có kế hoạch cụ thể (""made my plan""), đang viết thư tuyệt mệnh (""started my notes"") và tìm ra giải pháp cực đoan cho thấy ý định tự sát đã chuyển sang giai đoạn thực hiện ngay lập tức (Immediate_Intent)."
"I have always held such high honest standards. Found out my gf was cheating and she played the victim. My sense of reality, I let her hold on to too much of myself. I waited 7 months to sleep with her, my standards are two years but she insisted and It seemed like a love story. she is gone. I have been sleeping around with girls much more attractive and I am a very attractive, crowd controlling, successful guy, i click with everyone, my humor is exclusive and unmatched, i never had such low thoughts. But now I feel objectified. Like despite all my success I am unwanted for my true self. At 16 I paid off my mothers mortgage of $70,000. She hates me still i try to act like she is grateful but is it so hard? To just be nice? To regret disliking someone? People are noticing my social immaturity in dealing with depression, I am thinking of disappearing and dedicating my entire life to something in the engineering department, just because its a slower form of dying in my opinion. Otherwise suicide seems so pathetic rn but I am seriously so close. My intelligence feels like a joke. I feel like a joke. Romanticism",Suicidal,Suicidal,Suicidal_Ambivalence,"- I am thinking of disappearing and dedicating my entire life to something in the engineering department, just because its a slower form of dying in my opinion.
- Otherwise suicide seems so pathetic rn but I am seriously so close.",1,"Người viết thể hiện sự giằng xé tâm lý cực kỳ rõ ràng khi một mặt xem tự sát là ""thảm hại"" và tìm cách né tránh bằng việc chìm đắm vào công việc như một hình thức ""chết chậm"", nhưng mặt khác lại thừa nhận bản thân đang ở rất gần ranh giới đó."
